algorithm,run_name,seed,learning_rate,gamma,n_steps,ent_coef,vf_coef,mean_reward,std_reward,success_rate,mean_steps,convergence_episode,model_path,metrics_path,progress_path,plot_path,summary_path
a2c,a2c_run_01,242,0.0007,0.99,5,0.01,0.25,132.14413262383323,50.057368062896124,0.0,132.2,1066,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/a2c/a2c_run_01/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_01/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_01/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/a2c/a2c_run_01/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_01/summary.json
a2c,a2c_run_02,243,0.0005,0.98,10,0.015,0.3,352.28315213583465,48.30404422841768,0.9,25.9,1010,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/a2c/a2c_run_02/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_02/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_02/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/a2c/a2c_run_02/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_02/summary.json
a2c,a2c_run_03,244,0.0003,0.99,20,0.01,0.4,236.4369999999989,2.842170943040401e-14,0.0,250.0,129,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/a2c/a2c_run_03/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_03/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_03/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/a2c/a2c_run_03/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_03/summary.json
a2c,a2c_run_04,245,0.00025,0.995,20,0.02,0.25,291.98204919379646,118.68551964215132,0.7,18.1,1345,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/a2c/a2c_run_04/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_04/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_04/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/a2c/a2c_run_04/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_04/summary.json
a2c,a2c_run_05,246,0.0002,0.99,40,0.005,0.5,88.71562018913707,40.72257844285647,0.0,54.0,1030,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/a2c/a2c_run_05/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_05/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_05/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/a2c/a2c_run_05/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_05/summary.json
a2c,a2c_run_06,247,0.00015,0.97,5,0.03,0.2,108.07907437419833,42.231408788628656,0.0,22.1,483,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/a2c/a2c_run_06/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_06/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_06/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/a2c/a2c_run_06/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_06/summary.json
a2c,a2c_run_07,248,0.00012,0.985,10,0.02,0.35,123.66694989573975,46.5371800119029,0.0,33.4,1020,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/a2c/a2c_run_07/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_07/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_07/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/a2c/a2c_run_07/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_07/summary.json
a2c,a2c_run_08,249,0.0001,0.99,30,0.01,0.45,69.45975875854467,43.66107629470508,0.0,54.5,917,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/a2c/a2c_run_08/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_08/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_08/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/a2c/a2c_run_08/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_08/summary.json
a2c,a2c_run_09,250,8e-05,0.995,50,0.005,0.55,69.45975875854467,43.66107629470508,0.0,54.5,1161,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/a2c/a2c_run_09/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_09/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_09/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/a2c/a2c_run_09/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_09/summary.json
a2c,a2c_run_10,251,5e-05,0.997,60,0.002,0.6,29.223476642038595,28.81071752537121,0.0,5.0,,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/a2c/a2c_run_10/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_10/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_10/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/a2c/a2c_run_10/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/a2c/a2c_run_10/summary.json
