algorithm,run_name,seed,learning_rate,gamma,n_steps,batch_size,gae_lambda,ent_coef,clip_range,mean_reward,std_reward,success_rate,mean_steps,convergence_episode,model_path,metrics_path,progress_path,plot_path,summary_path
ppo,ppo_run_01,142,0.0003,0.99,512,64,0.95,0.01,0.2,137.94486474608422,29.684852165590694,0.0,127.6,719,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/ppo/ppo_run_01/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_01/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_01/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/ppo/ppo_run_01/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_01/summary.json
ppo,ppo_run_02,143,0.00025,0.98,512,128,0.95,0.015,0.2,281.2399902524058,103.05159180654401,0.6,77.1,971,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/ppo/ppo_run_02/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_02/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_02/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/ppo/ppo_run_02/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_02/summary.json
ppo,ppo_run_03,144,0.0002,0.99,1024,128,0.97,0.02,0.25,111.08629576159842,47.39936987482579,0.0,56.1,938,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/ppo/ppo_run_03/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_03/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_03/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/ppo/ppo_run_03/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_03/summary.json
ppo,ppo_run_04,145,0.00015,0.995,1024,256,0.98,0.01,0.15,-82.62231853485136,156.2826727326207,0.0,81.7,1045,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/ppo/ppo_run_04/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_04/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_04/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/ppo/ppo_run_04/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_04/summary.json
ppo,ppo_run_05,146,0.0001,0.99,2048,256,0.95,0.005,0.2,69.45975875854467,43.66107629470508,0.0,54.5,1103,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/ppo/ppo_run_05/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_05/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_05/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/ppo/ppo_run_05/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_05/summary.json
ppo,ppo_run_06,147,0.0003,0.97,256,64,0.92,0.02,0.25,101.0920319795649,28.628669247582213,0.0,23.4,1005,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/ppo/ppo_run_06/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_06/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_06/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/ppo/ppo_run_06/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_06/summary.json
ppo,ppo_run_07,148,0.0002,0.985,512,64,0.9,0.03,0.2,232.50701297282814,104.75819270963918,0.4,156.5,1098,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/ppo/ppo_run_07/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_07/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_07/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/ppo/ppo_run_07/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_07/summary.json
ppo,ppo_run_08,149,0.00012,0.995,1024,128,0.99,0.008,0.18,68.99475875854466,43.693551958503896,0.0,54.6,1224,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/ppo/ppo_run_08/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_08/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_08/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/ppo/ppo_run_08/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_08/summary.json
ppo,ppo_run_09,150,8e-05,0.99,2048,256,0.95,0.002,0.12,64.59751794124914,60.31228411527635,0.0,52.1,717,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/ppo/ppo_run_09/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_09/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_09/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/ppo/ppo_run_09/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_09/summary.json
ppo,ppo_run_10,151,5e-05,0.995,2048,512,0.98,0.001,0.1,-130.47520940303804,32.680404848702636,0.0,59.0,,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/ppo/ppo_run_10/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_10/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_10/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/ppo/ppo_run_10/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/ppo/ppo_run_10/summary.json
