algorithm,run_name,seed,learning_rate,gamma,hidden_dim,entropy_coef,normalize_returns,episodes,mean_reward,std_reward,success_rate,mean_steps,convergence_episode,model_path,metrics_path,progress_path,plot_path,summary_path
reinforce,reinforce_run_01,342,0.001,0.95,128,0.01,True,350,-233.31250736094057,90.19314322130342,0.0,49.6,,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/reinforce/reinforce_run_01/best_model.pt,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_01/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_01/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/reinforce/reinforce_run_01/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_01/summary.json
reinforce,reinforce_run_02,343,0.0007,0.97,128,0.015,True,400,-121.0155474503644,74.46654755325696,0.0,144.1,,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/reinforce/reinforce_run_02/best_model.pt,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_02/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_02/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/reinforce/reinforce_run_02/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_02/summary.json
reinforce,reinforce_run_03,344,0.0005,0.98,256,0.01,True,450,19.708818903129146,195.5784219218472,0.0,250.0,,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/reinforce/reinforce_run_03/best_model.pt,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_03/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_03/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/reinforce/reinforce_run_03/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_03/summary.json
reinforce,reinforce_run_04,345,0.0003,0.99,256,0.02,True,500,-165.4643733702798,81.85462943205832,0.0,58.3,,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/reinforce/reinforce_run_04/best_model.pt,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_04/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_04/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/reinforce/reinforce_run_04/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_04/summary.json
reinforce,reinforce_run_05,346,0.0002,0.995,256,0.005,True,550,-146.02630211076877,136.3720700730689,0.0,181.7,,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/reinforce/reinforce_run_05/best_model.pt,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_05/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_05/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/reinforce/reinforce_run_05/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_05/summary.json
reinforce,reinforce_run_06,347,0.00015,0.97,128,0.03,False,400,-97.78558090404022,160.58546573411067,0.0,210.0,,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/reinforce/reinforce_run_06/best_model.pt,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_06/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_06/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/reinforce/reinforce_run_06/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_06/summary.json
reinforce,reinforce_run_07,348,0.0001,0.985,192,0.02,False,450,-74.23669137477873,20.579464386041824,0.0,59.8,,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/reinforce/reinforce_run_07/best_model.pt,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_07/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_07/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/reinforce/reinforce_run_07/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_07/summary.json
reinforce,reinforce_run_08,349,8e-05,0.99,256,0.01,False,500,89.83776952094108,432.80805185387686,0.0,250.0,,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/reinforce/reinforce_run_08/best_model.pt,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_08/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_08/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/reinforce/reinforce_run_08/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_08/summary.json
reinforce,reinforce_run_09,350,5e-05,0.995,256,0.005,False,550,-435.83335504055015,501.1452665118163,0.0,116.3,,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/reinforce/reinforce_run_09/best_model.pt,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_09/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_09/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/reinforce/reinforce_run_09/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_09/summary.json
reinforce,reinforce_run_10,351,3e-05,0.997,256,0.001,False,600,-166.2005001103637,463.632213769238,0.0,227.3,,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/reinforce/reinforce_run_10/best_model.pt,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_10/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_10/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/reinforce/reinforce_run_10/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/reinforce/reinforce_run_10/summary.json
